PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18
20251040;10;2025;8377005;1;4;1;10;54;1;273.13437233;54;1;4;2;15;11;2009;3;1;2;1;1;2;2;2;6;;;6;;;2;;;;4;4;4;4;4;4;4;4;1;2;;4;3;;;;;;
20251040;10;2025;8377006;1;1;1;10;54;1;287.22284147;54;1;1;2;55;10;1969;1;2;;3;;2;2;2;6;;;4;;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251040;10;2025;8377006;1;2;1;10;54;1;287.22284147;54;1;2;1;26;1;1999;3;1;1;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251040;10;2025;8377006;1;3;1;10;54;1;287.22284147;54;1;3;2;35;3;1990;3;1;1;2;;2;2;2;6;;;4;;;1;1;3;178000;4;4;4;4;4;4;4;4;1;2;;10;10;915;7;915;1;2;1
20251040;10;2025;8377006;1;4;1;10;54;1;287.22284147;54;1;1;2;11;6;2014;8;1;3;2;;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;3;4;;;;;;
20251040;10;2025;8377006;1;5;1;10;54;1;287.22284147;54;1;1;2;4;3;2021;8;1;3;2;;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;2;2;;1;0;;;;;;
20251040;10;2025;8377007;1;1;1;10;54;1;773.5227152;54;1;1;1;45;5;1980;1;2;;3;;1;;2;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251040;10;2025;8377007;1;2;1;10;54;1;773.5227152;54;1;2;2;37;5;1988;2;2;;2;;1;;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251040;10;2025;8377007;1;3;1;10;54;1;773.5227152;54;1;3;1;16;8;2009;3;1;2;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;5;0;;1;;;;
20251040;10;2025;8377007;1;4;1;10;54;1;773.5227152;54;1;4;1;14;9;2011;3;1;2;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;2;;;;;;
20251040;10;2025;8377007;1;5;1;10;54;1;773.5227152;54;1;5;1;11;12;2013;3;1;2;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;0;;;;;;
20251040;10;2025;8377007;1;6;1;10;54;1;773.5227152;54;1;6;1;7;5;2018;3;2;;1;1;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;0;;;;;;
